month,healthy,cancer,new_cases
0,99991,9,9
1,99981,19,10
2,99970,30,11
3,99956,44,14
4,99942,58,14
5,99927,73,15
6,99920,80,7
7,99908,92,12
8,99900,100,8
9,99891,109,9
10,99879,121,12
11,99867,133,12
12,99844,156,23
13,99832,168,12
14,99819,181,13
15,99808,192,11
16,99799,201,9
17,99784,216,15
18,99777,223,7
19,99766,234,11
20,99754,246,12
21,99743,257,11
22,99734,266,9
23,99721,279,13
24,99710,290,11
25,99700,300,10
26,99683,317,17
27,99668,332,15
28,99653,347,15
29,99637,363,16
30,99626,374,11
31,99611,389,15
32,99593,407,18
33,99582,418,11
34,99574,426,8
35,99564,436,10
36,99553,447,11
37,99542,458,11
38,99526,474,16
39,99511,489,15
40,99499,501,12
41,99490,510,9
42,99471,529,19
43,99458,542,13
44,99446,554,12
45,99433,567,13
46,99414,586,19
47,99405,595,9
48,99396,604,9
49,99389,611,7
50,99376,624,13
51,99360,640,16
52,99354,646,6
53,99339,661,15
54,99330,670,9
55,99320,680,10
56,99308,692,12
57,99294,706,14
58,99285,715,9
59,99271,729,14
